174	DTIPH4S	DISPLAY IPHONE 4GS + TOUCH	DISPLAY + TOUCH	APPLE	IPHONE 4S	IPHONE 4S		 $390 	 $800 
175	FIPH4SAL	FLEX IPHONE 4S AUDIO LINE	FLEX AUDIO LINE	APPLE	IPHONE 4S	AUDIO LINE		 $120 	 $-   
176	FIPH4SCC	FLEX IPHONE 4S CENTRO DE CARGA	FLEX CENTRO DE CARGA	APPLE	IPHONE 4S	CENTRO DE CARGA		 $80 	 $350 
177	TAPAIPH4S	TAPA IPHONE 4GS 	TAPA	APPLE	IPHONE 4S	IPHONE 4S		 $100 	 $250 
178	CAMIPH4SF	CAMARA IPHONE 4S FRONTAL	CAMARA FRONTAL	APPLE	IPHONE 4S	IPHONE 4S		 $120 	 $-   
179	BHIPH5	BOTON IPHONE 5 HOME 	BOTON HOME	APPLE	IPHONE 5	IPHONE 5		 $25 	 $120 
180	BZIPH5	BUZZER IPHONE 5	BUZZER	APPLE	IPHONE 5	IPHONE 5		 $50 	 $250 
181	6020047	CABLE IPHONE 5	CABLE USB	APPLE	IPHONE 5	IPHONE 5		 $85 	 $-   
182	COVBATIPH5	COVER CON BATERIA IPHONE 5/5S	COVER CON BATERIA	APPLE	IPHONE 5	IPHONE 5		 $350 	 $450 
183	DTIPH5	DISPLAY IPHONE 5G + TOUCH	DISPLAY + TOUCH	APPLE	IPHONE 5	IPHONE 5		 $1,280 	 $1,500 
184	CONEXTIPH5	FLEX EXTENSION CONNECTOR DISPLAY IPHONE 5	FLEX EXTENSION CONECTOR DISPLAY	APPLE	IPHONE 5	EXTENSION CONECTOR DISPLAY		 $100 	
185	FIPH5CC	FLEX IPHONE 5 CENTRO DE CARGA	FLEX CENTRO DE CARGA	APPLE	IPHONE 5	CENTRO DE CARGA		 $150 	 $350 
186	FIPH5HM	FLEX IPHONE 5 HOME	FLEX HOME	APPLE	IPHONE 5	HOME		 $50 	 $-   
187	FIPH5PWR	FLEX IPHONE 5 ON/OFF	FLEX ENCENDIDO	APPLE	IPHONE 5	ON/OFF		 $100 	 $350 
188	FLEXIPH5S	FLEX IPHONE 5 SPEAKER	FLEX SPEAKER	APPLE	IPHONE 5	SPEAKER		 $140 	 $-   
189	SHIPH5	SIM HOLDER IPHONE 5	SIM HOLDER	APPLE	IPHONE 5	IPHONE 5		 $50 	 $-   
190	TAPAIPH5	TAPA IPHONE 5 (CARCASA)	CARCASA/TAPA	APPLE	IPHONE 5	IPHONE 5		 $450 	 $750 
191	AROIPH5	ARO IPHONE 5/5C/5S	ARO	APPLE	IPHONE 5	IPHONE 5	5C / 5S	 $60 	 $-   
192	BLIPH5	BACKLIGTH IPHONE 5	BACKLIGTH	APPLE	IPHONE 5	IPHONE 5		 $80 	 $300 
193	BIPH5	BATERIA IPHONE 5	BATERIA	APPLE	IPHONE 5	IPHONE 5		 $150 	 $350 
194	CAMIPH5F	CAMARA IPHONE 5 FRONTAL	CAMARA FRONTAL	APPLE	IPHONE 5	IPHONE 5		 $90 	 $-   
195	CAMIPH5B	CAMARA IPHONE 5 TRASERA	CAMARA TRASERA	APPLE	IPHONE 5	IPHONE 5		 $150 	 $-   
196	SIPH5	SPEAKER IPHONE 5	SPEAKER	APPLE	IPHONE 5	IPHONE 5		 $40 	 $-   
197	TORIPH5	TORNILLOS IPHONE 5	TORNILLOS	APPLE	IPHONE 5	IPHONE 5		 $20 	 $50 
198	VBRIPH5	VIBRADOR IPHONE 5	VIBRADOR	APPLE	IPHONE 5	IPHONE 5		 $30 	
199	VIPH5	VIDRIO IPHONE 5 BLACK	VIDRIO	APPLE	IPHONE 5	IPHONE 5		 $120 	 $-   
200	BHIPH5C	BOTON IPHONE 5C HOME	BOTON HOME	APPLE	IPHONE 5C	IPHONE 5C		 $35 	 $-   
201	DTIPH5C	DISPLAY IPHONE 5C + TOUCH	DISPLAY + TOUCH	APPLE	IPHONE 5C	IPHONE 5C		 $1,280 	 $1,500 
202	CONEXTIPH5S	FLEX EXTENSION CONNECTOR DISPLAY IPHONE 5C	FLEX EXTENSION CONECTOR DISPLAY	APPLE	IPHONE 5C	EXTENSION CONECTOR DISPLAY		 $100 	
203	ANTWIFIPH5C	FLEX IPHONE 5C ANTENA WIFI	FLEX ANTENA	APPLE	IPHONE 5C	ANTENA WIFI		 $50 	 $250 
204	FIPH5CCC	FLEX IPHONE 5C CENTRO DE CARGA	FLEX CENTRO DE CARGA	APPLE	IPHONE 5C	CENTRO DE CARGA		 $150 	 $350 
205	FIPH5CHM	FLEX IPHONE 5C HOME	FLEX HOME	APPLE	IPHONE 5C	HOME		 $50 	 $-   
206	FIPH5C	FLEX IPHONE 5C ON/OFF	FLEX ENCENDIDO	APPLE	IPHONE 5C	ON/OFF		 $140 	 $-   
207	CAMIPH5CF	CAMARA IPHONE 5C FRONTAL	CAMARA FRONTAL	APPLE	IPHONE 5C	IPHONE 5C		 $120 	 $350 
